POINTNUMBER;POINTNAME;STATIONNAME;STATIONNAMEABBREVIATED;PUNTOSINTER;NOMBRESINTER
101009;03CTE  MERCEDES 1 CORRIENTE;LULES;LUL;2,101009;03CTE  MERCEDES 
101078;03TEN   B   A   TENSION;LULES;LUL;2,101078;03TEN   B   A   
101079;13TEN   B   A   TENSION;LULES;LUL;2,101079;13TEN   B   A   
101080;13PW     L  PTU  POTENCIA ACTIVA;LULES;LUL;2,10108;13PW     L  PTU 
101081;13PQ     L  PTU  POTENCIA REACTIVA;LULES;LUL;2,101081;13PQ     L  PTU 
101082;03TEN   B   B   TENSION;LULES;LUL;2,101082;03TEN   B   B   
102000;13FRE            FRECUENCIA;TUCUMAN NORTE;TUN;2,102;13FRE           
102001;13TEN    L  TRA  TENSION;TUCUMAN NORTE;TUN;2,102001;13TEN    L  TRA 
102002;13TEN    L  MET  TENSION;TUCUMAN NORTE;TUN;2,102002;13TEN    L  MET 
102003;13TEN    L  CAD  TENSION;TUCUMAN NORTE;TUN;2,102003;13TEN    L  CAD 
102004;01CTE   SUIPACHA CORRIENTE;TUCUMAN NORTE;TUN;2,102004;01CTE   SUIPACHA
102005;01CTE      SOEME CORRIENTE;TUCUMAN NORTE;TUN;2,102005;01CTE      SOEME
