60353,"50TEN    L  LAV  ",500,"Linea","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60354,"50TEN     TR  01 ",500,"Transformador","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60355,"50RBC   TR 01 PUN",500,"Transformador","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60356,"ENA-BAN 01PW TG01","13,2","Generación","P","G","BAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60357,"ENA-BAN 01PQ TG01","13,2","Generación","Q","G","BAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60358,"ENA-BAN 01PW TG02","13,2","Generación","P","G","BAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60359,"ENA-BAN 01PQ TG02","13,2","Generación","Q","G","BAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60360,"SMT 01RBC TG1","13,2","Generación","Punto de RBC",,,,,
60361,"SMT 01TEN TG1","13,2","Generación","Tensión",,,,,
60362,"13TEN     B   A  ",132,"Barra","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60363,"13TEN     B   B  ",132,"Barra","Tensión",,"SAN","SANTIAGO","SANTIAGO DEL ESTERO","CENTRO"
60364,"50CTE TR 02",500,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE"
60365,"50PW  TR 02",500,"Transformador","P","T","COB","COBOS","SALTA","NORTE"
60366,"50PQ  TR 02",500,"Transformador","Q","T","COB","COBOS","SALTA","NORTE"
60367,"50RBC TR 02",500,"Transformador","Punto de RBC",,"COB","COBOS","SALTA","NORTE"
60368,"34CTE TR 02",345,"Transformador","Corriente",,"COB","COBOS","SALTA","NORTE"
60369,"34TEN TR 02",345,"Transformador","Tensión",,"COB","COBOS","SALTA","NORTE"
60370,"34PW  TR 02",345,"Transformador","P","T","COB","COBOS","SALTA","NORTE"
60371,"34PQ  TR 02",345,"Transformador","Q","T","COB","COBOS","SALTA","NORTE"
